"","Close","Volume","Today","Lag1","Lag2","AVolume","TodayV","Lag1V","Lag2V","AClose","Lag1BullC","Lag1BullV","Direction"
"2002-08-05",834.599976,1425500000,-0.0355140364873436,-0.0236276766132981,-0.0304750105383145,1865690333.33333,-0.0789898281304805,-0.0871854885898186,-0.225547183351274,912.8410014,-53.7523460333334,-329980333.333333,"Down"
"2002-08-06",859.570007,1514100000,0.0290494442531195,-0.0355140364873436,-0.0236276766132981,1864407000,0.0585166105277062,-0.0789898281304805,-0.0871854885898186,908.402669266667,-78.2410254,-440190333.333333,"Up"
"2002-08-07",876.77002,1490400000,0.0196174739186452,0.0290494442531195,-0.0355140364873436,1863630333.33333,-0.0159017713365539,0.0585166105277062,-0.0789898281304805,905.0903361,-48.8326622666666,-350307000,"Up"
"2002-08-08",905.460022,1646700000,0.0316855535340244,0.0196174739186452,0.0290494442531195,1851377333.33333,0.094917106941155,-0.0159017713365539,0.0585166105277062,902.821335866667,-28.3203161,-373230333.333333,"Up"
"2002-08-09",908.640015,1294900000,0.00349972810739572,0.0316855535340244,0.0196174739186452,1830920666.66667,-0.271681210904317,0.094917106941155,-0.0159017713365539,900.088002533333,2.63868613333329,-204677333.333333,"Up"
"2002-08-12",903.799988,1036500000,-0.00535519701732942,0.00349972810739572,0.0316855535340244,1794904000,-0.249300530631934,-0.271681210904317,0.094917106941155,897.220668566667,8.55201246666661,-536020666.666667,"Down"
"2002-08-13",884.210022,1297700000,-0.0221553313269277,-0.00535519701732942,0.00349972810739572,1790644000,0.201279186252601,-0.249300530631934,-0.271681210904317,894.406001833333,6.57931943333335,-758404000,"Down"
"2002-08-14",919.619995,1533800000,0.0385050055376406,-0.0221553313269277,-0.00535519701732942,1781004000,0.153931412178902,0.201279186252601,-0.249300530631934,893.457000766667,-10.1959798333334,-492944000,"Up"
"2002-08-15",930.25,1505100000,0.011427041117979,0.0385050055376406,-0.0221553313269277,1780247333.33333,-0.019068500431865,0.153931412178902,0.201279186252601,892.665667766667,26.1629942333334,-247204000,"Up"
"2002-08-16",928.77002,1265300000,-0.00159348382067711,0.011427041117979,0.0385050055376406,1799110666.66667,-0.189520271872283,-0.019068500431865,0.153931412178902,890.6570008,37.5843322333333,-275147333.333333,"Down"
