"","STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","DATA"
"3929","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-01",NA,79,52,77,1962-08-01
"3930","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-02",NA,82,61,77,1962-08-02
"3931","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-03",NA,79,61,66,1962-08-03
"3932","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-04",NA,82,60,78,1962-08-04
"3933","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-05",NA,86,65,82,1962-08-05
"3934","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-06",NA,82,61,80,1962-08-06
"3935","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-07",NA,84,63,83,1962-08-07
"3936","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-08",NA,84,61,73,1962-08-08
"3937","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-09",NA,73,50,71,1962-08-09
"3938","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-10",NA,78,58,76,1962-08-10
"3939","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-11",NA,76,64,70,1962-08-11
"3940","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-12",NA,74,62,72,1962-08-12
"3941","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-13",NA,78,56,75,1962-08-13
"3942","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-14",NA,78,58,73,1962-08-14
"3943","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-15",NA,78,64,71,1962-08-15
"3944","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-16",NA,72,56,70,1962-08-16
"3945","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-17",NA,78,49,75,1962-08-17
"3946","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-18",NA,78,58,73,1962-08-18
"3947","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-19",NA,83,62,79,1962-08-19
"3948","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-20",NA,83,59,83,1962-08-20
"3949","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-21",NA,86,63,83,1962-08-21
"3950","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-22",NA,83,64,77,1962-08-22
"3951","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-23",NA,82,70,77,1962-08-23
"3952","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-24",NA,77,54,71,1962-08-24
"3953","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-25",NA,81,55,77,1962-08-25
"3954","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-26",NA,80,57,78,1962-08-26
"3955","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-27",NA,85,61,82,1962-08-27
"3956","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-28",NA,82,61,68,1962-08-28
"3957","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-29",NA,76,49,72,1962-08-29
"3958","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-30",NA,72,55,59,1962-08-30
"3959","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-08-31",NA,73,54,73,1962-08-31
"3960","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-01",NA,79,57,76,1962-09-01
"3961","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-02",NA,81,58,77,1962-09-02
"3962","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-03",NA,77,48,49,1962-09-03
"3963","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-04",NA,60,45,58,1962-09-04
"3964","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-05",NA,66,39,58,1962-09-05
"3965","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-06",NA,67,44,61,1962-09-06
"3966","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-07",NA,78,53,73,1962-09-07
"3967","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-08",NA,75,62,62,1962-09-08
"3968","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-09",NA,62,55,57,1962-09-09
"3969","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-10",NA,57,50,50,1962-09-10
"3970","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-11",NA,78,42,72,1962-09-11
"3971","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-12",NA,78,59,68,1962-09-12
"3972","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-13",NA,72,56,63,1962-09-13
"3973","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-14",NA,67,51,51,1962-09-14
"3974","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-15",NA,71,51,63,1962-09-15
"3975","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-16",NA,68,52,59,1962-09-16
"3976","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-17",NA,64,46,57,1962-09-17
"3977","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-18",NA,66,49,55,1962-09-18
"3978","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-19",NA,55,37,48,1962-09-19
"3979","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-20",NA,59,34,53,1962-09-20
"3980","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-21",NA,69,42,60,1962-09-21
"3981","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-22",NA,60,42,53,1962-09-22
"3982","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-23",NA,62,44,62,1962-09-23
"3983","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-24",NA,62,54,56,1962-09-24
"3984","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-25",NA,64,40,53,1962-09-25
"3985","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-26",NA,61,48,52,1962-09-26
"3986","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-27",NA,60,38,54,1962-09-27
"3987","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-28",NA,62,40,54,1962-09-28
"3988","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-29",NA,64,42,60,1962-09-29
"3989","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-09-30",NA,60,52,53,1962-09-30
"3990","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-10-01",NA,69,49,56,1962-10-01
"3991","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-10-02",NA,71,42,58,1962-10-02
"3992","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-10-03",NA,65,46,58,1962-10-03
"3993","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-10-04",NA,63,50,56,1962-10-04
